content_type,content_category,dates,sentiment,score
photo,"healthy eating","2020-08-31 00:00:00",positive,65
photo,"healthy eating","2021-06-16 00:00:00",positive,60
photo,"healthy eating","2020-07-07 00:00:00",neutral,20
photo,"healthy eating","2020-08-20 00:00:00",neutral,35
photo,"healthy eating","2020-09-23 00:00:00",positive,65
photo,"healthy eating","2021-03-24 00:00:00",positive,50
photo,"healthy eating","2020-12-07 00:00:00",negative,5
photo,"healthy eating","2020-08-03 00:00:00",positive,75
photo,"healthy eating","2021-01-10 00:00:00",positive,72
photo,"healthy eating","2020-09-20 00:00:00",negative,15
photo,"healthy eating","2020-07-20 00:00:00",positive,70
photo,"healthy eating","2020-10-24 00:00:00",positive,72
photo,"healthy eating","2021-06-06 00:00:00",positive,30
photo,"healthy eating","2020-12-25 00:00:00",positive,60
photo,"healthy eating","2021-06-14 00:00:00",positive,50
photo,"healthy eating","2021-06-05 00:00:00",positive,50
photo,"healthy eating","2020-11-18 00:00:00",negative,5
photo,"healthy eating","2021-05-09 00:00:00",positive,30
photo,"healthy eating","2021-05-11 00:00:00",negative,10
photo,"healthy eating","2020-11-12 00:00:00",neutral,35
photo,"healthy eating","2020-06-21 00:00:00",positive,60
photo,"healthy eating","2021-03-04 00:00:00",positive,75
photo,"healthy eating","2020-07-09 00:00:00",positive,70
photo,"healthy eating","2020-08-01 00:00:00",negative,5
photo,"healthy eating","2020-11-23 00:00:00",negative,10
photo,"healthy eating","2020-12-11 00:00:00",negative,15
photo,"healthy eating","2021-04-23 00:00:00",negative,10
photo,"healthy eating","2020-11-13 00:00:00",positive,70
photo,"healthy eating","2021-06-09 00:00:00",positive,30
photo,"healthy eating","2020-10-29 00:00:00",positive,65
photo,"healthy eating","2021-05-14 00:00:00",positive,60
photo,"healthy eating","2020-08-04 00:00:00",negative,0
photo,"healthy eating","2020-08-07 00:00:00",positive,72
photo,"healthy eating","2020-10-23 00:00:00",positive,72
photo,"healthy eating","2020-11-14 00:00:00",positive,72
photo,"healthy eating","2020-08-04 00:00:00",negative,12
photo,"healthy eating","2020-11-12 00:00:00",positive,30
photo,technology,"2021-04-03 00:00:00",negative,12
photo,technology,"2020-09-27 00:00:00",positive,70
photo,technology,"2020-10-27 00:00:00",positive,60
photo,technology,"2020-10-15 00:00:00",negative,15
photo,technology,"2021-05-07 00:00:00",positive,60
photo,technology,"2020-09-16 00:00:00",negative,5
photo,technology,"2020-10-29 00:00:00",neutral,20
video,food,"2021-05-24 00:00:00",negative,15
GIF,cooking,"2021-02-25 00:00:00",positive,30
GIF,cooking,"2021-05-02 00:00:00",negative,5
GIF,cooking,"2021-01-28 00:00:00",positive,70
GIF,cooking,"2021-02-15 00:00:00",neutral,35
GIF,cooking,"2020-11-04 00:00:00",negative,10
GIF,cooking,"2020-06-23 00:00:00",positive,65
GIF,cooking,"2021-02-16 00:00:00",positive,70
GIF,cooking,"2021-01-03 00:00:00",positive,30
GIF,cooking,"2020-11-25 00:00:00",positive,72
GIF,cooking,"2020-12-03 00:00:00",positive,50
GIF,cooking,"2021-05-22 00:00:00",positive,50
GIF,cooking,"2021-01-18 00:00:00",positive,70
GIF,cooking,"2021-01-06 00:00:00",neutral,20
GIF,cooking,"2021-05-14 00:00:00",positive,72
GIF,cooking,"2021-05-27 00:00:00",negative,12
GIF,cooking,"2020-07-21 00:00:00",neutral,35
GIF,cooking,"2021-05-26 00:00:00",negative,10
GIF,cooking,"2021-02-25 00:00:00",negative,10
GIF,cooking,"2020-12-07 00:00:00",positive,45
GIF,cooking,"2020-10-24 00:00:00",neutral,20
GIF,cooking,"2020-09-01 00:00:00",neutral,35
GIF,cooking,"2021-05-10 00:00:00",positive,72
video,dogs,"2021-02-12 00:00:00",positive,70
video,dogs,"2021-04-28 00:00:00",positive,60
video,dogs,"2021-01-24 00:00:00",positive,45
video,dogs,"2021-03-18 00:00:00",negative,12
video,dogs,"2021-01-14 00:00:00",negative,0
video,dogs,"2020-12-23 00:00:00",positive,60
video,dogs,"2021-05-21 00:00:00",negative,5
video,dogs,"2021-03-28 00:00:00",positive,50
video,dogs,"2020-09-16 00:00:00",neutral,35
video,dogs,"2020-11-08 00:00:00",neutral,20
video,dogs,"2021-03-06 00:00:00",positive,60
video,dogs,"2021-01-13 00:00:00",negative,0
video,dogs,"2020-09-06 00:00:00",positive,70
video,dogs,"2020-06-24 00:00:00",positive,30
video,dogs,"2021-02-07 00:00:00",negative,5
video,dogs,"2021-01-21 00:00:00",positive,45
video,dogs,"2021-02-27 00:00:00",negative,10
video,dogs,"2020-08-22 00:00:00",negative,12
video,dogs,"2020-08-03 00:00:00",positive,70
video,dogs,"2020-08-02 00:00:00",negative,15
video,dogs,"2021-06-04 00:00:00",positive,70
video,dogs,"2020-10-21 00:00:00",positive,75
video,dogs,"2020-12-26 00:00:00",negative,10
video,dogs,"2021-03-02 00:00:00",negative,15
video,dogs,"2021-03-31 00:00:00",neutral,20
video,dogs,"2021-06-14 00:00:00",positive,30
video,dogs,"2020-12-27 00:00:00",negative,15
video,dogs,"2021-02-11 00:00:00",negative,15
video,dogs,"2020-12-07 00:00:00",positive,30
video,dogs,"2020-12-28 00:00:00",positive,30
video,dogs,"2020-10-26 00:00:00",positive,30
video,dogs,"2020-09-26 00:00:00",negative,12
video,dogs,"2020-11-25 00:00:00",negative,15
video,dogs,"2020-07-11 00:00:00",positive,60
video,dogs,"2021-03-19 00:00:00",positive,60
video,dogs,"2020-10-11 00:00:00",positive,30
video,dogs,"2020-11-02 00:00:00",positive,60
video,dogs,"2020-10-01 00:00:00",positive,70
video,dogs,"2021-02-11 00:00:00",negative,0
video,dogs,"2021-02-07 00:00:00",positive,70
video,dogs,"2020-10-17 00:00:00",negative,5
video,dogs,"2020-08-09 00:00:00",positive,50
video,dogs,"2021-02-01 00:00:00",positive,65
video,dogs,"2021-01-30 00:00:00",positive,72
video,technology,"2021-03-31 00:00:00",positive,70
video,technology,"2021-02-05 00:00:00",positive,75
video,technology,"2021-02-19 00:00:00",positive,60
video,technology,"2020-07-25 00:00:00",negative,12
photo,soccer,"2020-07-13 00:00:00",positive,72
photo,soccer,"2021-01-13 00:00:00",neutral,20
photo,soccer,"2021-01-02 00:00:00",negative,12
photo,soccer,"2020-11-26 00:00:00",positive,45
photo,soccer,"2020-08-25 00:00:00",positive,70
photo,soccer,"2021-02-01 00:00:00",negative,5
photo,soccer,"2021-06-04 00:00:00",positive,65
photo,soccer,"2020-08-19 00:00:00",positive,72
photo,soccer,"2021-04-22 00:00:00",positive,70
photo,soccer,"2020-06-26 00:00:00",positive,75
photo,soccer,"2020-08-15 00:00:00",positive,50
photo,soccer,"2020-11-26 00:00:00",positive,65
photo,"public speaking","2021-04-14 00:00:00",positive,70
photo,"public speaking","2020-07-21 00:00:00",neutral,20
photo,"public speaking","2021-03-29 00:00:00",negative,10
photo,"public speaking","2021-05-20 00:00:00",positive,70
photo,"public speaking","2020-11-02 00:00:00",positive,50
photo,"public speaking","2020-10-24 00:00:00",neutral,20
photo,"public speaking","2020-09-07 00:00:00",positive,60
photo,"public speaking","2021-03-04 00:00:00",negative,15
photo,"public speaking","2021-01-07 00:00:00",positive,72
photo,"public speaking","2020-07-06 00:00:00",neutral,35
photo,"public speaking","2021-03-27 00:00:00",positive,50
photo,"public speaking","2020-11-21 00:00:00",positive,45
photo,"public speaking","2020-08-22 00:00:00",positive,70
photo,"public speaking","2021-06-14 00:00:00",neutral,35
photo,"public speaking","2020-07-15 00:00:00",negative,12
photo,"public speaking","2021-03-21 00:00:00",positive,45
photo,"public speaking","2021-04-07 00:00:00",positive,75
photo,"public speaking","2021-04-24 00:00:00",positive,70
photo,"public speaking","2020-09-30 00:00:00",positive,60
photo,"public speaking","2020-07-19 00:00:00",positive,60
photo,"public speaking","2021-01-21 00:00:00",negative,15
photo,"public speaking","2021-01-31 00:00:00",negative,15
photo,"public speaking","2020-12-24 00:00:00",negative,5
photo,"public speaking","2021-05-27 00:00:00",negative,0
photo,"public speaking","2021-02-13 00:00:00",negative,0
photo,"public speaking","2020-07-14 00:00:00",positive,72
photo,"public speaking","2020-07-15 00:00:00",negative,10
photo,"public speaking","2020-10-08 00:00:00",positive,50
photo,"public speaking","2020-11-12 00:00:00",positive,60
photo,"public speaking","2021-02-21 00:00:00",positive,70
photo,"public speaking","2020-07-09 00:00:00",positive,45
photo,"public speaking","2020-06-26 00:00:00",positive,72
photo,"public speaking","2020-11-20 00:00:00",negative,12
photo,"public speaking","2021-05-29 00:00:00",positive,50
photo,"public speaking","2021-02-22 00:00:00",neutral,20
photo,"public speaking","2021-01-07 00:00:00",negative,15
photo,"public speaking","2020-10-01 00:00:00",positive,72
photo,"public speaking","2020-11-21 00:00:00",negative,5
photo,"public speaking","2021-04-15 00:00:00",negative,15
photo,"public speaking","2020-06-30 00:00:00",positive,65
photo,"public speaking","2020-12-01 00:00:00",positive,70
photo,"public speaking","2020-11-07 00:00:00",negative,15
GIF,science,"2020-06-30 00:00:00",positive,75
GIF,science,"2020-08-04 00:00:00",positive,60
GIF,science,"2020-07-28 00:00:00",positive,45
GIF,science,"2020-10-25 00:00:00",positive,75
GIF,science,"2020-07-05 00:00:00",negative,12
GIF,science,"2021-04-28 00:00:00",positive,70
GIF,science,"2021-01-31 00:00:00",neutral,20
GIF,science,"2020-08-29 00:00:00",positive,72
GIF,science,"2020-10-15 00:00:00",positive,45
GIF,science,"2020-08-02 00:00:00",positive,65
GIF,science,"2020-10-31 00:00:00",negative,15
GIF,science,"2020-10-12 00:00:00",positive,60
GIF,science,"2020-12-12 00:00:00",positive,70
GIF,science,"2021-01-09 00:00:00",positive,50
GIF,science,"2020-08-23 00:00:00",negative,5
GIF,science,"2020-12-22 00:00:00",positive,65
GIF,science,"2020-11-07 00:00:00",negative,0
GIF,science,"2021-04-17 00:00:00",positive,72
GIF,science,"2021-04-21 00:00:00",negative,15
GIF,science,"2020-07-19 00:00:00",positive,45
GIF,science,"2020-07-06 00:00:00",positive,45
GIF,science,"2021-03-26 00:00:00",positive,65
GIF,tennis,"2020-09-13 00:00:00",positive,70
GIF,tennis,"2021-01-28 00:00:00",negative,12
GIF,tennis,"2021-01-20 00:00:00",neutral,20
GIF,tennis,"2020-09-03 00:00:00",positive,75
GIF,tennis,"2021-01-09 00:00:00",negative,12
GIF,tennis,"2020-09-19 00:00:00",neutral,20
GIF,tennis,"2021-05-29 00:00:00",positive,75
GIF,tennis,"2021-05-15 00:00:00",negative,12
GIF,tennis,"2020-08-15 00:00:00",positive,45
GIF,tennis,"2021-03-31 00:00:00",negative,0
GIF,tennis,"2021-02-15 00:00:00",neutral,35
GIF,tennis,"2021-03-29 00:00:00",negative,15
GIF,tennis,"2020-07-29 00:00:00",negative,15
GIF,tennis,"2021-05-08 00:00:00",negative,5
GIF,tennis,"2020-11-06 00:00:00",positive,60
GIF,tennis,"2020-07-25 00:00:00",positive,75
GIF,tennis,"2020-12-04 00:00:00",negative,12
GIF,tennis,"2020-09-22 00:00:00",positive,75
GIF,tennis,"2020-07-05 00:00:00",negative,5
GIF,tennis,"2020-10-20 00:00:00",positive,70
GIF,tennis,"2021-01-11 00:00:00",positive,60
GIF,tennis,"2021-02-28 00:00:00",positive,70
GIF,tennis,"2020-12-06 00:00:00",positive,45
GIF,tennis,"2021-05-05 00:00:00",neutral,35
GIF,tennis,"2020-08-27 00:00:00",positive,30
GIF,tennis,"2020-10-15 00:00:00",positive,60
GIF,tennis,"2021-01-15 00:00:00",neutral,35
GIF,tennis,"2021-03-01 00:00:00",positive,45
GIF,tennis,"2020-11-28 00:00:00",neutral,35
GIF,tennis,"2020-06-26 00:00:00",positive,60
GIF,tennis,"2020-12-30 00:00:00",positive,70
GIF,tennis,"2021-02-14 00:00:00",positive,75
GIF,tennis,"2021-03-27 00:00:00",positive,70
GIF,tennis,"2020-08-23 00:00:00",negative,10
GIF,tennis,"2020-11-09 00:00:00",positive,60
GIF,tennis,"2021-05-12 00:00:00",negative,5
GIF,tennis,"2021-04-15 00:00:00",negative,5
GIF,tennis,"2020-08-16 00:00:00",neutral,35
GIF,tennis,"2020-09-11 00:00:00",negative,0
GIF,tennis,"2021-04-13 00:00:00",positive,45
GIF,tennis,"2020-12-13 00:00:00",positive,70
GIF,tennis,"2020-12-03 00:00:00",negative,10
GIF,tennis,"2020-10-13 00:00:00",negative,0
GIF,tennis,"2020-12-04 00:00:00",positive,70
GIF,tennis,"2021-01-25 00:00:00",neutral,35
GIF,tennis,"2021-05-04 00:00:00",negative,5
GIF,tennis,"2020-07-23 00:00:00",negative,0
video,food,"2021-01-06 00:00:00",positive,65
video,food,"2020-10-21 00:00:00",negative,12
video,food,"2021-02-23 00:00:00",negative,12
video,food,"2021-01-26 00:00:00",positive,75
video,food,"2020-12-18 00:00:00",neutral,35
video,food,"2021-05-23 00:00:00",neutral,20
video,food,"2020-10-31 00:00:00",negative,12
video,food,"2021-02-20 00:00:00",neutral,20
video,food,"2020-10-28 00:00:00",positive,75
video,food,"2020-08-30 00:00:00",neutral,35
video,food,"2020-12-08 00:00:00",negative,0
video,food,"2020-11-04 00:00:00",negative,15
video,food,"2020-08-24 00:00:00",negative,15
video,food,"2021-01-05 00:00:00",negative,0
video,food,"2021-02-28 00:00:00",positive,72
video,food,"2020-09-22 00:00:00",negative,10
video,food,"2020-11-08 00:00:00",negative,0
video,food,"2020-10-26 00:00:00",positive,65
video,food,"2020-11-04 00:00:00",positive,60
video,food,"2021-05-31 00:00:00",positive,65
video,food,"2021-03-07 00:00:00",neutral,35
video,food,"2021-06-17 00:00:00",positive,45
video,food,"2020-07-27 00:00:00",positive,45
video,food,"2021-04-19 00:00:00",negative,0
video,food,"2020-10-05 00:00:00",positive,50
video,food,"2020-09-28 00:00:00",positive,75
video,food,"2021-02-25 00:00:00",negative,10
video,food,"2020-12-24 00:00:00",positive,60
video,food,"2021-06-15 00:00:00",positive,60
video,food,"2021-05-03 00:00:00",negative,10
video,food,"2021-02-12 00:00:00",positive,45
video,food,"2020-08-31 00:00:00",positive,72
video,food,"2021-01-11 00:00:00",neutral,20
video,food,"2020-08-02 00:00:00",positive,75
video,food,"2020-10-18 00:00:00",negative,0
video,food,"2021-03-28 00:00:00",neutral,35
video,food,"2021-02-11 00:00:00",positive,75
video,food,"2020-08-12 00:00:00",positive,60
video,food,"2021-01-07 00:00:00",negative,15
video,food,"2020-10-27 00:00:00",positive,30
video,food,"2021-02-19 00:00:00",negative,15
video,food,"2021-06-08 00:00:00",positive,75
video,food,"2020-10-18 00:00:00",positive,50
video,food,"2020-11-05 00:00:00",positive,75
video,food,"2020-08-16 00:00:00",positive,45
video,food,"2020-10-14 00:00:00",negative,15
video,food,"2021-04-01 00:00:00",neutral,35
video,food,"2020-09-25 00:00:00",positive,50
audio,travel,"2021-03-03 00:00:00",positive,45
GIF,fitness,"2020-10-30 00:00:00",positive,30
GIF,fitness,"2021-02-12 00:00:00",positive,50
GIF,fitness,"2021-02-08 00:00:00",negative,0
GIF,fitness,"2021-04-02 00:00:00",positive,30
GIF,fitness,"2020-06-30 00:00:00",negative,12
GIF,fitness,"2020-10-22 00:00:00",negative,12
GIF,fitness,"2021-06-16 00:00:00",neutral,20
GIF,fitness,"2020-08-10 00:00:00",positive,70
GIF,soccer,"2020-07-26 00:00:00",positive,72
GIF,soccer,"2020-12-12 00:00:00",positive,30
GIF,soccer,"2020-08-21 00:00:00",positive,70
GIF,soccer,"2021-05-31 00:00:00",neutral,20
GIF,soccer,"2021-02-14 00:00:00",neutral,20
GIF,soccer,"2021-02-15 00:00:00",negative,0
video,"public speaking","2020-09-08 00:00:00",negative,5
video,"public speaking","2020-10-28 00:00:00",negative,12
video,"public speaking","2020-11-21 00:00:00",positive,30
video,"public speaking","2020-10-16 00:00:00",negative,15
video,"public speaking","2021-01-08 00:00:00",negative,5
video,"public speaking","2020-09-07 00:00:00",positive,70
video,"public speaking","2021-01-26 00:00:00",negative,5
video,"public speaking","2020-09-15 00:00:00",negative,12
video,"public speaking","2020-11-09 00:00:00",positive,65
video,"public speaking","2020-09-03 00:00:00",positive,50
video,"public speaking","2021-02-01 00:00:00",neutral,20
video,"public speaking","2021-04-14 00:00:00",positive,70
video,"public speaking","2021-01-12 00:00:00",positive,65
video,"public speaking","2020-11-02 00:00:00",negative,10
video,"public speaking","2021-03-08 00:00:00",positive,60
video,"public speaking","2020-09-14 00:00:00",positive,70
video,"public speaking","2020-07-28 00:00:00",negative,10
video,"public speaking","2020-06-30 00:00:00",positive,70
video,"public speaking","2021-01-26 00:00:00",positive,72
video,"public speaking","2020-06-30 00:00:00",positive,70
video,"public speaking","2021-05-19 00:00:00",positive,72
video,"public speaking","2021-03-11 00:00:00",positive,70
video,"public speaking","2020-10-17 00:00:00",positive,70
video,"public speaking","2021-04-12 00:00:00",positive,72
video,"public speaking","2020-11-25 00:00:00",negative,5
video,"public speaking","2021-06-09 00:00:00",negative,0
video,"public speaking","2021-05-20 00:00:00",neutral,35
video,"public speaking","2020-09-30 00:00:00",negative,5
video,"public speaking","2020-10-07 00:00:00",positive,75
video,"public speaking","2020-10-07 00:00:00",negative,15
video,"public speaking","2021-01-11 00:00:00",negative,15
video,"public speaking","2020-12-26 00:00:00",negative,0
video,"public speaking","2021-06-15 00:00:00",negative,0
video,"public speaking","2021-05-21 00:00:00",negative,15
video,"public speaking","2020-11-14 00:00:00",positive,45
video,"public speaking","2021-05-05 00:00:00",positive,75
video,"public speaking","2020-08-17 00:00:00",positive,30
video,"public speaking","2020-12-31 00:00:00",positive,45
video,food,"2020-11-21 00:00:00",negative,0
video,food,"2020-10-05 00:00:00",negative,5
video,food,"2021-05-28 00:00:00",positive,70
video,food,"2021-01-12 00:00:00",negative,5
video,food,"2021-02-20 00:00:00",negative,15
video,food,"2020-07-14 00:00:00",positive,45
video,food,"2021-06-05 00:00:00",negative,12
video,food,"2021-03-23 00:00:00",positive,70
video,food,"2021-05-18 00:00:00",positive,70
video,food,"2020-08-31 00:00:00",negative,15
video,food,"2021-06-04 00:00:00",positive,50
video,food,"2021-01-01 00:00:00",negative,0
video,food,"2021-05-29 00:00:00",negative,10
video,food,"2020-07-18 00:00:00",positive,30
video,food,"2020-11-07 00:00:00",positive,72
video,food,"2020-08-11 00:00:00",positive,50
video,food,"2020-07-24 00:00:00",negative,10
video,food,"2020-10-08 00:00:00",negative,15
video,food,"2021-02-05 00:00:00",neutral,20
video,food,"2020-11-09 00:00:00",neutral,20
video,food,"2020-07-26 00:00:00",positive,30
video,food,"2021-05-19 00:00:00",positive,50
video,food,"2020-11-15 00:00:00",positive,75
video,food,"2021-02-04 00:00:00",negative,12
video,food,"2020-08-01 00:00:00",positive,45
video,food,"2020-09-22 00:00:00",positive,75
video,tennis,"2021-05-21 00:00:00",positive,72
video,tennis,"2021-02-25 00:00:00",neutral,35
video,tennis,"2021-04-10 00:00:00",negative,0
video,tennis,"2021-04-06 00:00:00",negative,12
video,tennis,"2021-04-05 00:00:00",negative,12
video,tennis,"2020-12-14 00:00:00",negative,0
video,tennis,"2021-03-06 00:00:00",positive,60
video,tennis,"2020-10-12 00:00:00",negative,5
video,tennis,"2020-11-14 00:00:00",positive,50
video,tennis,"2021-06-07 00:00:00",negative,15
video,tennis,"2021-02-13 00:00:00",negative,5
video,tennis,"2021-05-08 00:00:00",positive,65
video,tennis,"2020-11-20 00:00:00",negative,15
video,tennis,"2020-07-18 00:00:00",positive,70
video,tennis,"2020-08-27 00:00:00",positive,65
video,tennis,"2020-09-29 00:00:00",negative,10
video,tennis,"2020-08-17 00:00:00",positive,50
video,tennis,"2020-08-16 00:00:00",positive,70
video,tennis,"2020-07-06 00:00:00",positive,50
video,tennis,"2020-07-22 00:00:00",positive,60
video,tennis,"2021-05-16 00:00:00",negative,15
video,tennis,"2021-05-20 00:00:00",positive,65
video,tennis,"2021-02-11 00:00:00",negative,5
video,tennis,"2020-08-03 00:00:00",positive,45
video,tennis,"2020-09-18 00:00:00",positive,70
video,tennis,"2021-03-27 00:00:00",negative,5
video,tennis,"2020-07-13 00:00:00",negative,10
video,tennis,"2021-01-19 00:00:00",positive,75
video,tennis,"2021-04-30 00:00:00",positive,70
video,tennis,"2021-04-04 00:00:00",positive,50
video,tennis,"2021-02-03 00:00:00",neutral,20
video,tennis,"2020-10-06 00:00:00",negative,0
video,tennis,"2020-11-07 00:00:00",positive,30
video,tennis,"2020-12-22 00:00:00",negative,10
video,tennis,"2021-03-20 00:00:00",neutral,20
video,tennis,"2020-08-14 00:00:00",positive,45
video,tennis,"2020-09-20 00:00:00",positive,45
video,tennis,"2020-12-20 00:00:00",negative,15
video,tennis,"2021-05-08 00:00:00",positive,72
video,tennis,"2020-10-23 00:00:00",neutral,35
video,tennis,"2020-08-27 00:00:00",negative,0
video,tennis,"2021-05-23 00:00:00",positive,70
video,tennis,"2020-11-27 00:00:00",positive,65
video,tennis,"2021-04-16 00:00:00",positive,75
video,tennis,"2021-05-29 00:00:00",negative,5
GIF,soccer,"2020-10-27 00:00:00",negative,12
GIF,soccer,"2021-04-03 00:00:00",positive,45
GIF,soccer,"2020-06-29 00:00:00",negative,10
GIF,soccer,"2020-09-24 00:00:00",negative,5
GIF,soccer,"2020-09-13 00:00:00",negative,0
GIF,soccer,"2020-08-19 00:00:00",negative,0
GIF,soccer,"2021-05-11 00:00:00",positive,70
GIF,soccer,"2021-04-02 00:00:00",neutral,20
GIF,soccer,"2020-09-22 00:00:00",positive,70
GIF,soccer,"2020-08-05 00:00:00",negative,15
GIF,soccer,"2020-12-15 00:00:00",neutral,20
GIF,soccer,"2021-05-28 00:00:00",positive,65
GIF,soccer,"2021-06-09 00:00:00",positive,65
GIF,soccer,"2020-09-07 00:00:00",positive,70
GIF,soccer,"2020-08-08 00:00:00",negative,10
GIF,soccer,"2020-12-19 00:00:00",positive,50
GIF,soccer,"2021-05-24 00:00:00",negative,5
GIF,soccer,"2021-01-26 00:00:00",negative,12
GIF,soccer,"2020-10-30 00:00:00",positive,75
GIF,soccer,"2021-06-13 00:00:00",positive,60
GIF,soccer,"2020-12-18 00:00:00",positive,30
GIF,soccer,"2020-07-21 00:00:00",negative,15
GIF,soccer,"2021-02-05 00:00:00",positive,50
GIF,soccer,"2020-12-10 00:00:00",positive,70
GIF,soccer,"2020-09-26 00:00:00",positive,65
GIF,soccer,"2021-01-13 00:00:00",positive,70
GIF,soccer,"2020-11-12 00:00:00",positive,50
GIF,soccer,"2021-03-09 00:00:00",negative,0
GIF,soccer,"2021-05-18 00:00:00",positive,60
GIF,soccer,"2021-06-12 00:00:00",positive,75
GIF,soccer,"2020-08-02 00:00:00",positive,75
GIF,soccer,"2021-04-14 00:00:00",negative,5
GIF,soccer,"2020-12-12 00:00:00",negative,0
GIF,soccer,"2020-08-24 00:00:00",neutral,20
GIF,soccer,"2020-10-07 00:00:00",positive,50
GIF,soccer,"2021-03-11 00:00:00",positive,50
GIF,soccer,"2021-03-30 00:00:00",negative,0
GIF,soccer,"2021-01-03 00:00:00",neutral,35
GIF,soccer,"2021-05-30 00:00:00",neutral,35
GIF,soccer,"2021-04-27 00:00:00",positive,30
GIF,soccer,"2021-04-13 00:00:00",neutral,20
GIF,soccer,"2021-03-13 00:00:00",neutral,20
GIF,soccer,"2020-09-07 00:00:00",positive,72
GIF,soccer,"2021-02-06 00:00:00",positive,30
GIF,soccer,"2021-05-18 00:00:00",negative,15
GIF,soccer,"2021-04-25 00:00:00",positive,75
GIF,soccer,"2021-02-28 00:00:00",negative,10
GIF,soccer,"2020-10-22 00:00:00",negative,0
GIF,soccer,"2021-05-24 00:00:00",neutral,35
GIF,soccer,"2021-01-25 00:00:00",positive,45
GIF,soccer,"2020-11-16 00:00:00",positive,30
GIF,soccer,"2020-10-25 00:00:00",negative,10
GIF,soccer,"2021-04-18 00:00:00",positive,30
GIF,soccer,"2021-06-03 00:00:00",neutral,20
GIF,soccer,"2020-10-26 00:00:00",positive,65
GIF,soccer,"2020-09-08 00:00:00",neutral,20
GIF,soccer,"2020-12-02 00:00:00",negative,10
GIF,soccer,"2020-11-18 00:00:00",positive,72
GIF,soccer,"2021-05-25 00:00:00",positive,72
GIF,soccer,"2021-04-26 00:00:00",neutral,20
GIF,soccer,"2021-01-30 00:00:00",neutral,35
GIF,soccer,"2020-07-23 00:00:00",neutral,35
GIF,soccer,"2020-12-06 00:00:00",positive,70
GIF,soccer,"2021-06-13 00:00:00",positive,70
GIF,soccer,"2021-01-23 00:00:00",positive,45
GIF,soccer,"2020-07-14 00:00:00",positive,45
GIF,soccer,"2021-04-23 00:00:00",positive,60
video,education,"2020-08-22 00:00:00",positive,30
video,education,"2021-04-03 00:00:00",positive,50
video,education,"2021-04-14 00:00:00",positive,70
video,education,"2021-04-15 00:00:00",positive,72
video,education,"2021-05-23 00:00:00",positive,70
video,education,"2020-10-03 00:00:00",negative,10
